dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
76,0,Аптека-склад,Аптека-склад,4.06822446981462,1.0,0.9430448574225954,,12586,396451.0132182726,5955615.778086331,396447.98393226066,5955613.0625980515
51,1,ЕАПТЕКА,ЕАПТЕКА,6.2042504875603495,1.0,0.9131404931741551,,12587,396948.9825922265,5954405.909245373,396943.9812766912,5954409.580698359
30,2,Губернские аптеки,Губернские аптеки,4.4242503464758824,1.0,0.9380604951493376,,12588,397813.1763052062,5953845.200676319,397816.1520022673,5953848.474698025
100,3,Губернские аптеки,Губернские аптеки,3.498168119690138,1.0,0.9510256463243381,,12589,395741.5610182325,5954343.571467292,395744.8232212478,5954344.834484188
80,4,Губернские аптеки,Губернские аптеки,23.694222794536508,1.0,0.6682808808764888,,12590,396278.10000233044,5954242.519438777,396301.4837351319,5954246.342687933
94,5,Губернские аптеки,Губернские аптеки,7.491700874536425,1.0,0.8951161877564899,,12591,395957.7459749456,5956122.203252589,395964.1929651224,5956118.3872468695
88,6,Планета здоровья,Планета здоровья,4.940164029135659,1.0,0.9308377035921007,,12593,396121.5020739088,5953373.860978401,396122.2703409556,5953378.741038481
99,7,Апрель,Апрель,9.51681104848459,1.0,0.8667646453212157,,12595,395755.1853913534,5954309.211346167,395752.68348011945,5954318.393401096
59,8,Апрель,Апрель,9.592153391748472,1.0,0.8657098525155213,,12596,396743.2364455032,5954297.025439483,396750.05134734296,5954303.775737225
57,9,Губернские аптеки,Губернские аптеки,4.217373506397281,1.0,0.9409567709104381,,12597,396794.69019702484,5956027.674623249,396796.0973336172,5956031.6503251875
5,10,Апрель,Апрель,12.420214307851506,1.0,0.8261169996900788,,12598,399355.25045323436,5953320.142614958,399367.6434063864,5953319.320157893
85,11,Дешёвая аптека,Дешёвая аптека,5.725506552294832,1.0,0.9198429082678723,,12599,396219.59847395256,5955797.082151583,396222.45776763046,5955792.121721668
83,12,ФармЦент,ФармЦент,4.4302747123081065,1.0,0.9379761540276865,,12600,396210.505059693,5955225.659119023,396214.8169123566,5955226.676596607
58,13,Аптека Всем,Аптека Всем,4.806847605536142,1.0,0.9327041335224939,,12601,396794.2793764989,5956021.0058399215,396793.92313273536,5956025.799468431
36,15,Губернские аптеки,Губернские аптеки,7.191581941474714,1.0,0.899317852819354,,12604,397529.5217107012,5955317.498994189,397534.2197132632,5955312.054031127
31,16,Аптека Всем,Аптека Всем,12.612333902408338,1.0,0.8234273253662834,,12605,397790.8913555815,5953843.349244035,397778.2801705268,5953843.179014831
111,18,Эдельвейс,Эдельвейс,4.229190301070056,1.0,0.9407913357850191,,12608,395485.8521881177,5956251.23987119,395484.29048377427,5956255.170154913
104,19,Лекарь,Лекарь,0.17259462756156502,1.0,0.997583675214138,,12609,395744.6856771737,5955528.267767649,395744.8151079988,5955528.153589862
48,20,Ресфармация,Ресфармация,5.69966262151621,1.0,0.9202047232987729,,12611,397101.59619377856,5954286.58543548,397097.80662231887,5954282.328053403
108,21,Апрель,Апрель,6.5032174348250456,1.0,0.9089549559124492,,12612,395621.0517456267,5955372.309192594,395617.9549054132,5955366.590677254
32,22,Аптека № 56,Аптека № 56,5.347460138555215,1.0,0.925135558060227,,12613,397722.3781651914,5953831.376583714,397722.230747766,5953836.722011483
45,23,ФармЦент,ФармЦент,17.540997070150954,1.0,0.7544260410178866,,12614,397170.0984692587,5954869.834848917,397171.29836190445,5954852.3349393215
41,24,Дешёвая аптека,Дешёвая аптека,3.503062280186295,1.0,0.9509571280773919,,12615,397246.1915096432,5954379.239938092,397243.4380119744,5954377.074367515
69,25,Фармцент,ФармЦент,8.404590119728338,1.0,0.8823357383238033,,12616,396591.9554701201,5956132.980573207,396599.7365506971,5956129.803794944
125,26,Дешёвая аптека,Дешёвая аптека,4.46882240847906,1.0,0.9374364862812932,,12617,394528.5457388677,5951648.013021809,394531.591111243,5951651.283508136
112,27,Дешёвая аптека,Дешёвая аптека,8.081620990387947,1.0,0.8868573061345686,,12620,395390.3784515132,5954731.701111972,395397.9022726358,5954728.750736819
124,28,Я+аптека,Я+аптека,23.609331427475396,1.0,0.6694693600153443,,12621,394584.358001658,5951189.76843119,394605.5928915,5951200.0873450795
2,30,Дешёвая аптека,Дешёвая аптека,3.552173278681822,1.0,0.9502695740984544,,12624,399603.37430725177,5953158.788625604,399606.0001451003,5953161.180886165
23,31,120/80,120/80,3.4101984086042467,1.0,0.9522572222795405,,12625,398061.35957951937,5954106.017390209,398058.4816328255,5954104.187943295
55,33,Фармцент,ФармЦент,11.868215349748445,1.0,0.8338449851035217,,12627,396804.9530016389,5954396.16746894,396806.0127797992,5954384.346664998
77,34,Дешёвая аптека,Дешёвая аптека,2.1695562182709054,1.0,0.9696262129442073,,12628,396366.7318856499,5953008.611308251,396365.3830060008,5953010.3105721725
96,37,Ромашка,Ромашка,13.657191485314053,1.0,0.8087993192056033,,12631,395888.05211743526,5954505.481250776,395878.2058965611,5954496.017064928
42,38,Я+аптека,Я+аптека,7.8347342334306775,1.0,0.8903137207319705,,12632,397256.3632235618,5955704.003862159,397248.5615773739,5955703.284572741
38,39,Гармония здоровья,Гармония здоровья,33.25264659081105,1.0,0.5344629477286453,,12633,397415.5250148858,5953165.406233016,397385.7569150189,5953150.587368836
53,40,Дешёвая аптека,Дешёвая аптека,1.0251273411294015,1.0,0.9856482172241883,,12635,396862.47720213427,5956019.949167295,396861.5637560758,5956020.41446544
73,41,Оидис,Оидис,1.8237053822820097,1.0,0.9744681246480518,,12637,396561.19669063605,5956138.3341173,396559.53089030134,5956137.59181644
34,42,ФармЦент,ФармЦент,4.661556787592872,1.0,0.9347382049736999,,12638,397519.614635501,5953750.440178605,397518.1318390182,5953746.020741279
129,43,Эконом,Эконом,29.754887543177205,1.0,0.5834315743955191,,12639,394318.7852594193,5951585.842918932,394346.12689190375,5951597.58125211
120,44,Дешёвая аптека,Дешёвая аптека,2.863953968938609,1.0,0.9599046444348593,,12640,394802.77706351364,5950759.5973990355,394804.77880792186,5950757.549167686
106,45,Эконом,Эконом,5.69565794137763,1.0,0.920260788820713,,12641,395670.7063625488,5955483.3917996,395666.2716840014,5955479.817705929
103,46,АптекаПлюс,Аптека плюс,24.17579402394277,0.9090909090909091,0.634266156392074,,12642,395649.2243806992,5951201.136647975,395660.13940546464,5951222.708185961
71,47,Я+аптека,Я+аптека,4.600488405440987,1.0,0.935593162323826,,12643,396531.25774800207,5954055.733090608,396533.9476161819,5954052.000919291
43,48,ФармЦент,ФармЦент,3.1688702645766416,1.0,0.9556358162959271,,12647,397199.34242730984,5953997.518287703,397197.7640334804,5953994.77048646
28,49,Дешёвая аптека,Дешёвая аптека,3.9301013819092088,1.0,0.9449785806532711,,12649,397991.0987564885,5953312.670854516,397987.252335717,5953311.864167389
