dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
105,0,Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ,ж.-д. ст. Старый Петергоф,6.5160624213016245,1.0,0.9087751261017771,1869,206,324499.32640873303,6642194.136675665,324494.4993358586,6642189.759640488
148,228,УЛ. Б. ГОРКУШЕНКО,ул. Братьев Горкушенко,18.487132785867903,0.7142857142857143,0.6554658552835636,5517,3188,327047.209189021,6640704.768291791,327031.9003244056,6640715.132303699
126,226,УЛ. ДАШКЕВИЧА,ул. Дашкевича,10.348920389796277,1.0,0.8551151145428519,5465,3186,327386.7326101746,6640629.28183193,327378.2251952934,6640623.3891207315
53,225,"ЭРЛЕРОВСКИЙ БУЛЬВАР, УГОЛ УЛ. АВРОВА","Эрлеровский бульвар, угол ул. Аврова",2.0075454000903385,1.0,0.9718943643987352,919,3185,327434.125685529,6641042.724385867,327432.2074183485,6641043.316407452
145,224,КОНСТАНТИНОВСКАЯ УЛ,Константиновская ул.,15.005810070549567,1.0,0.7899186590123061,5512,3184,327285.61548211664,6641156.3220965685,327283.31237291644,6641171.150111401
143,223,"ОЗЕРКОВАЯ УЛ., 51","Озерковая ул., 51",5.088502691738983,1.0,0.9287609623156541,5506,3114,325974.29172786913,6641312.51128398,325972.7646144717,6641317.365229212
137,222,ПТИЦЕФАБРИКА КРАСНЫЕ ЗОРИ,Птицефабрика Красные зори,9.115264677966293,1.0,0.8723862945084717,5497,3042,329197.2153630712,6639005.9406105215,329194.1659204075,6638997.350561069
260,221,"КРАСНОСЕЛЬСКОЕ ШОССЕ, 54","Красносельское шоссе, 54",17.17640087402418,1.0,0.7595303877636614,6067,3040,335943.3351377053,6634907.590010923,335948.1128467821,6634924.088563677
93,219,"ЧИЧЕРИНСКАЯ УЛ., УГОЛ БОТАНИЧЕСКОЙ УЛ","Чичеринская ул., угол Ботанической ул.",1.6298374292294968,1.0,0.9771822759907869,1776,3031,323744.592337391,6641281.800507348,323743.1104999747,6641282.479129421
57,218,БОТАНИЧЕСКАЯ УЛ,Ботаническая ул.,0.8254171018725115,1.0,0.9884441605737848,1003,3030,323834.336724992,6641365.095441123,323834.7082394286,6641365.832523489
44,216,УЛ. ШАХМАТОВА,ул. Шахматова,10.343694681574002,1.0,0.855188274457964,852,3019,324408.24737880833,6640599.42803924,324401.1146374729,6640606.919101962
91,215,ЧЕБЫШЁВСКАЯ УЛ,Чебышёвская ул.,21.625218982645638,1.0,0.697246934242961,1769,3018,323965.24369750125,6640878.587261121,323959.63012674445,6640857.703345793
92,214,"ЧЕБЫШЁВСКАЯ УЛ., 6","Чебышёвская ул., 6",14.586287576568175,1.0,0.7957919739280455,1770,3017,324106.3327986321,6641090.240248378,324109.5542555137,6641104.466351177
159,213,"ГОСТИЛИЦКОЕ ШОССЕ, 5 КМ","Гостилицкое шоссе, 5 км",3.4745867714185237,1.0,0.9513557852001406,5577,2926,321648.4890464037,6640725.876875717,321645.2037778511,6640724.745609272
276,212,"СОБСТВЕННЫЙ ПР., 34","Собственный пр., 34",33.588571948488024,1.0,0.5297599927211677,6691,2925,324426.7557454321,6643448.560375393,324456.32619026396,6643432.629871384
275,211,БОБЫЛЬСКАЯ ДОРОГА,Бобыльская дорога,7.80642552380346,1.0,0.8907100426667516,6690,2924,324373.802511762,6643409.417754535,324380.9885945311,6643406.368083422
274,210,ОРАНИЕНБАУМСКИЙ СПУСК,Ораниенбаумский спуск,34.05324079275819,1.0,0.5232546289013853,6689,2923,325212.8987285745,6643211.491025287,325240.7843214263,6643191.94577216
97,227,ЭРЛЕРОВСКИЙ БУЛЬВАР,Эрлеровский бульвар,12.133249521647915,1.0,0.8301345066969292,1799,3187,327519.36416829564,6640978.341717445,327521.56826575135,6640990.273091983
262,229,Ж.-Д. СТ. НОВЫЙ ПЕТЕРГОФ,ж.-д. ст. Новый Петергоф,8.542946824033372,1.0,0.8803987444635328,6093,3189,327820.460673786,6640380.037541202,327828.0619314831,6640383.936620819
283,249,УЛ. ДЗЕРЖИНСКОГО,ул. Дзержинского,7.740692705492542,1.0,0.8916303021231045,6816,3475,323317.2442147215,6641577.079077198,323309.93399457,6641574.53368825
279,230,БОБЫЛЬСКАЯ ДОРОГА,Бобыльская дорога,14.316137732962124,1.0,0.7995740717385302,6694,3207,324033.8388409808,6642531.592230596,324037.2852738089,6642545.487334062
281,247,"ЧИЧЕРИНСКАЯ УЛ., УГОЛ БОТАНИЧЕСКОЙ УЛ","Чичеринская ул., угол Ботанической ул.",10.029385575212663,1.0,0.8595886019470227,6794,3471,323761.78721988807,6641348.662870726,323751.7833096293,6641349.377261761
150,246,УЛ. ДЗЕРЖИНСКОГО,ул. Дзержинского,10.099250028005216,1.0,0.8586104996079269,5532,3426,323572.24878872256,6642251.183284222,323573.61662118207,6642241.177091865
151,245,УЛ. ДЗЕРЖИНСКОГО,ул. Дзержинского,14.436738773117904,1.0,0.7978856571763493,5533,3425,323599.5150430477,6642219.684085984,323610.72650927666,6642210.588897618
268,244,БАУШЕВСКАЯ УЛ,Баушевская ул.,8.862762130505622,1.0,0.8759213301729212,6264,3419,323677.69178832485,6642655.561863645,323669.03778619325,6642657.474139694
133,241,УЛ. ДЕМЬЯНА БЕДНОГО,ул. Демьяна Бедного,30.007809124288674,1.0,0.5798906722599585,5493,3371,329512.4845477816,6639881.131439957,329517.58591443184,6639910.702450537
1,240,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,Биологический институт,9.795377699718994,1.0,0.8628647122039341,67,3369,323452.1934357065,6644036.387245251,323459.925577752,6644030.373643695
55,239,БИОЛОГИЧЕСКИЙ ИНСТИТУТ,Биологический институт,17.317641546885884,1.0,0.7575530183435976,988,3368,323514.18732058967,6643984.903492614,323531.0734190651,6643981.061567702
47,238,ЦВЕТОВОДЧЕСКИЙ ПИТОМНИК,Цветоводческий питомник,10.89096235161458,1.0,0.8475265270773957,883,3367,322975.60977666726,6644275.798679006,322966.0044035912,6644280.931891355
18,237,"МОРСКАЯ УЛ., 35","Морская ул., 35",13.31900861415334,1.0,0.8135338794018532,311,3359,321272.64146903215,6645635.534828142,321277.27575570974,6645623.048060047
72,236,"МОРСКАЯ УЛ., 35","Морская ул., 35",13.56683376891975,1.0,0.8100643272351236,1220,3358,321297.842093723,6645586.571727599,321293.12941860536,6645599.293742838
98,235,"ЭРЛЕРОВСКИЙ БУЛЬВАР, УГОЛ УЛ. АВРОВА","Эрлеровский бульвар, угол ул. Аврова",8.23751504837163,1.0,0.8846747893227971,1800,3344,327465.3613328204,6640980.856098658,327472.529647965,6640976.797538303
