dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
25,0,школа № 269,школа № 269,34.00074738115805,1.0,0.5239895366637873,27,100,347360.21762631484,6638387.022353282,347387.7631569952,6638367.090103986
0,40,лицей № 378,лицей № 378,7.662663864384336,1.0,0.8927227058986194,2,41,342987.5006645151,6635969.107604469,342995.14871691295,6635968.634622421
26,30,школа № 658,школа № 658,19.88835453780753,1.0,0.7215630364706946,28,31,347360.2251790379,6638387.205843481,347354.79662998626,6638368.072691587
33,31,школа № 480,школа № 480,11.279286539877722,1.0,0.8420899884417119,35,32,346836.84505792015,6639873.909124253,346846.527410708,6639868.123422106
35,32,школа № 501,школа № 501,4.894453334716944,1.0,0.9314776533139628,37,33,347160.13826851704,6640297.629643365,347157.7574002496,6640293.353296824
36,34,школа № 386,школа № 386,3.4084157606624137,1.0,0.9522821793507261,38,35,347016.6731172426,6640473.659320294,347017.501039373,6640470.352986532
38,35,школа № 388,школа № 388,15.769069035478509,1.0,0.7792330335033009,40,36,347308.0095703985,6641841.425406826,347320.07806200726,6641831.2757739
39,36,центр образования № 162,Центр образования № 162,30.641392224405905,1.0,0.5710205088583173,41,37,347032.93232038675,6642034.888383177,347004.29587176477,6642023.986606819
40,37,школа № 381,школа № 381,8.95505065486744,1.0,0.8746292908318558,42,38,347355.72196674254,6642614.620830989,347363.1783122006,6642619.580250778
42,38,школа № 608,школа № 608,2.5108311443268536,1.0,0.9648483639794241,44,39,347196.5906976415,6643178.347147225,347196.74004466657,6643180.853532771
43,39,школа № 565,школа № 565,12.499202483044566,1.0,0.8250111652373759,45,40,347820.6673028554,6643360.428194179,347813.9137748475,6643349.91059359
5,41,лицей № 244,лицей № 244,2.8288391569558313,1.0,0.9603962518026183,7,42,343947.48158728523,6635977.916954308,343949.62258374447,6635976.068045133
45,1,школа № 283,школа № 283,13.12932886194293,1.0,0.816189395932799,47,2,342976.7963311083,6635636.703410918,342980.32063916436,6635649.350882171
24,43,лицей № 387,лицей № 387,12.81267544696496,1.0,0.8206225437424906,26,44,346089.1645654512,6637725.8693822855,346101.93056148826,6637724.776680455
34,45,лицей № 389,лицей № 389,4.350152970152648,1.0,0.9390978584178629,36,46,346351.1280797364,6640276.614369838,346354.8341942812,6640274.336531862
41,46,лицей № 384,лицей № 384,28.21640997577635,1.0,0.604970260339131,43,47,347551.99812304974,6643134.415505361,347546.33306409966,6643162.057373948
14,47,гимназия № 284,гимназия № 284,15.708631984526734,1.0,0.7800791522166257,16,48,346459.6591045235,6636278.273197904,346473.2654821447,6636270.422872634
18,48,гисназия № 248,гимназия № 248,7.982374581606978,0.9285714285714286,0.8668181844289309,20,49,346889.7972092122,6636758.492482639,346888.0507035792,6636750.703514669
30,49,гимназия № 261,гимназия № 261,9.213446560248116,1.0,0.8710117481565263,32,50,345548.3329929587,6638726.257482486,345541.7794460759,6638732.733485943
37,51,гимназия № 397,гимназия № 397,3.1781263272707787,1.0,0.955506231418209,39,52,347003.5686422882,6640892.553088354,347001.1994106077,6640894.671396215
28,27,школа № 493,школа № 493,0.1033020149353491,1.0,0.998553771790905,30,28,346097.55631590687,6638406.493345861,346097.5520323488,6638406.390132696
31,25,школа № 264,школа № 264,19.510308922853238,1.0,0.7268556750800547,33,26,345708.9201965352,6639144.659685876,345711.2425113269,6639164.031289018
1,2,школа № 223,школа № 223,5.184034998981311,1.0,0.9274235100142616,3,3,343697.2312066809,6635748.493514547,343692.3724274751,6635746.686172991
2,3,школа № 251,школа № 506,4.477834734676534,0.7272727272727273,0.8554921318963467,4,4,344150.770338451,6635446.547084896,344155.145366461,6635445.593075555
3,4,школа № 506,школа № 506,5.325553946228209,1.0,0.925442244752805,5,5,344595.5182201384,6635627.2640634915,344595.0203161284,6635621.961835994
4,5,школа № 250,школа № 250,4.495213485849692,1.0,0.9370670111981043,6,6,344449.6350233138,6635945.2501044655,344450.73996315897,6635940.892805736
8,6,школа № 392,школа № 392,8.936016805346902,1.0,0.8748957647251434,10,7,344197.34382879233,6636397.068947569,344189.48668565333,6636392.812458635
6,7,школа № 254,школа № 254,2.8919639019875616,1.0,0.959512505372174,8,8,343318.5463960397,6636412.366285207,343320.9154014841,6636414.024979999
7,8,школа № 240,школа № 240,3.6465695849554693,1.0,0.9489480258106233,9,9,343492.21346861497,6636547.617316922,343493.95774611284,6636550.819654467
19,9,школа № 539,школа № 539,8.522806505025837,1.0,0.8806807089296382,21,10,347007.9566701829,6636999.646456313,347005.41476095736,6636991.511536018
9,10,школа № 249,школа № 249,4.460576038405985,1.0,0.9375519354623161,11,11,344900.3183099966,6636845.0743758185,344897.7349685217,6636848.710731882
11,11,школа № 221,школа № 221,6.630949626465156,1.0,0.9071667052294878,13,12,344568.238254779,6637380.032200766,344567.44538199494,6637386.615577232
10,12,школа № 654,школа № 654,4.5022083822400845,1.0,0.9369690826486388,12,13,344492.31860912894,6637184.1294315355,344490.3038708711,6637188.155684144
16,14,школа № 585,школа № 585,12.299689836446097,1.0,0.8278043422897545,18,15,345333.07054954616,6637785.401836188,345344.10415028996,6637779.966578632
12,15,школа № 502,школа № 502,4.630770627886326,1.0,0.9351692112095913,14,16,345658.8203303459,6636550.294280864,345656.33604898024,6636546.3862912655
15,16,школа № 282,школа № 282,16.013574344722922,1.0,0.775809959173879,17,17,346039.83655272104,6636790.191962151,346055.81153756543,6636789.080916465
13,17,школа № 551,школа № 551,19.721032112628826,1.0,0.7239055504231964,15,18,346168.6107113261,6636151.563243853,346157.9177230168,6636168.133672592
17,18,школа № 274,школа № 274,7.635238570351572,1.0,0.8931066600150779,19,19,346642.78316639183,6636723.733514254,346641.6436446465,6636716.183788549
20,19,школа № 538,школа № 538,10.43686651340745,1.0,0.8538838688122956,22,20,347341.2187562128,6637469.834381965,347340.6519970077,6637459.41291534
22,20,школа № 504,школа № 504,11.986504797369037,1.0,0.8321889328368335,24,21,346737.2606059313,6637547.272527479,346744.447913571,6637537.6798789315
23,21,школа № 503,школа № 503,17.798432585041358,1.0,0.750821943809421,25,22,346619.92554028495,6637857.47769412,346636.73379326286,6637851.623906089
29,24,школа № 377,школа № 377,7.963257762691999,1.0,0.8885143913223119,31,25,345054.7489445007,6638556.802377305,345061.32384572946,6638561.295054461
32,53,лицей № 393,лицей № 393,1.928138099201688,1.0,0.9730060666111764,34,54,347239.5686543572,6639716.50353376,347241.1310433513,6639717.633426304
