dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
133,129,НИКОЛЬСКАЯ ПЛ,Никольская пл.,1.8839785483958749,1.0,0.9736243003224576,7836,4263,349035.31161030574,6646001.2818008475,349034.1268528433,6645999.816971531
88,76,10-Я КРАСНОАРМЕЙСКАЯ УЛ,10-я Красноармейская ул.,11.231042604247564,1.0,0.8427654035405341,4964,1452,348883.3214475595,6644755.157613174,348885.7346043994,6644766.126341088
105,74,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,0.8781097128327017,1.0,0.9877064640203421,6278,1450,350054.81677782635,6644348.250388321,350055.51581117813,6644348.781828854
41,19,ДК СВЯЗИ,ДК Связи,5.636230755148204,1.0,0.9210927694279252,1066,813,349251.5065323751,6646802.947968764,349256.704172808,6646805.127792394
56,21,ПР. РИМСКОГО-КОРСАКОВА,пр. Римского-Корсакова,7.427235493986075,1.0,0.8960187030841948,1381,818,348967.77581311384,6645952.519287362,348960.8375624413,6645955.169665578
65,22,"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27","Старо-Петергофский пр., 27",7.53742629109533,1.0,0.8944760319246654,1527,973,347631.82581001485,6644243.343128746,347638.4420923769,6644246.953890827
30,23,"СТАРО-ПЕТЕРГОФСКИЙ ПР.,27","Старо-Петергофский пр., 27",1.791538693762246,1.0,0.9749184582873285,640,974,347623.6701423798,6644187.9326626165,347624.93963203824,6644186.6685396405
20,24,НАРВСКИЙ ПР,Нарвский пр.,10.293591499896168,1.0,0.8558897190014536,332,975,347555.9015632358,6643992.168373884,347557.74116064695,6644002.296251615
51,25,НАРВСКИЙ ПР,Нарвский пр.,8.966578984841501,1.0,0.874467894212219,1239,976,347712.3000383901,6643984.965637643,347715.3793841731,6643993.386870821
101,26,РИЖСКИЙ ПР,Рижский пр.,4.605024144985819,1.0,0.9355296619701985,5899,977,348811.2360997179,6644922.254360702,348815.7044078823,6644923.368124377
91,27,10-Я КРАСНОАРМЕЙСКАЯ УЛ,10-я Красноармейская ул.,17.7799043123239,1.0,0.7510813396274654,4971,978,348903.5828951212,6644814.647077933,348905.2965981492,6644832.344202538
98,28,ЛЕРМОНТОВСКИЙ ПР,Лермонтовский пр.,43.43021156004449,1.0,0.3919770381593771,5743,979,348812.67747210286,6644902.726674777,348769.28644010075,6644900.882327212
96,29,"РИЖСКИЙ ПР., 17","Рижский пр., 17",1.5647267973881989,1.0,0.9780938248365652,5741,980,348381.4493236834,6644891.361698687,348381.95233371184,6644892.843370331
97,30,"РИЖСКИЙ ПР., 17","Рижский пр., 17",10.393017884233762,1.0,0.8544977496207273,5742,981,348341.12409910583,6644913.247097086,348331.00543270167,6644910.874880624
68,31,УЛ. ЦИОЛКОВСКОГО,ул. Циолковского,29.63982661789856,1.0,0.5850424273494201,1727,982,348341.2196030813,6644365.780109928,348370.6236458154,6644369.511275005
77,32,УЛ. ЦИОЛКОВСКОГО,ул. Циолковского,38.690265010488986,1.0,0.4583362898531542,2166,983,348329.341600435,6644341.83157638,348367.9868375985,6644343.697655466
90,33,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,6.118285832188495,1.0,0.9143439983493611,4970,984,348899.6168101887,6644510.923691187,348902.47540638945,6644505.514268918
89,34,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,5.645083538273071,1.0,0.920968830464177,4965,985,348878.8302543076,6644498.792018725,348881.6656063289,6644493.910651389
50,35,"НАБ. ОБВОДНОГО КАНАЛА,138","наб. Обводного канала, 138",20.693510339084053,1.0,0.7102908552528232,1235,987,347985.93493247963,6644384.940296119,348005.69558282034,6644391.083427915
42,20,ИСААКИЕВСКАЯ пл.,Исаакиевская пл.,13.885238463111177,1.0,0.8056066615164434,1126,814,349672.29765582236,6646972.764268499,349659.07691395306,6646968.520233673
31,18,ТЕАТРАЛЬНАЯ ПЛ,Театральная пл.,9.658553963254032,1.0,0.8647802445144435,649,779,348901.07804270776,6646245.655323852,348905.14692175103,6646236.895649886
83,73,ст. м. ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,ст. м. Технологический институт,1.8848819214173154,1.0,0.9736116531001575,4131,1449,350064.9393797341,6644959.030142564,350065.8734574617,6644960.667298225
94,17,УЛ. ЦИОЛКОВСКОГО,ул. Циолковского,16.51180245848056,1.0,0.7688347655812721,5739,765,348016.57450048684,6644883.809835701,348000.06850050634,6644883.372131381
12,2,ЛИФЛЯНДСКАЯ УЛ,Лифляндская ул.,5.7846663230134645,1.0,0.9190146714778114,290,434,347153.2921796369,6644407.786195335,347152.23361124424,6644413.47318025
67,3,УЛ. СТЕПАНА РАЗИНА,ул. Степана Разина,7.797122349642177,1.0,0.8908402871050094,1699,439,347247.55997782934,6644875.015224776,347252.7981349969,6644880.790761671
35,4,УЛ. СТЕПАНА РАЗИНА,ул. Степана Разина,13.426638870447784,1.0,0.812027055813731,819,440,347268.39127466397,6644859.648285538,347281.17482296814,6644863.753833505
28,5,ст. м. СЕННАЯ пл.,ст. м. Сенная пл.,3.9636108674315382,1.0,0.9445094478559584,629,515,350262.40374645183,6646439.072292162,350265.56705666485,6646441.460529923
109,6,КИЕВСКАЯ УЛ,Киевская ул.,1.4346928827729566,1.0,0.9799142996411785,6284,703,350014.86462490726,6643541.539541012,350013.8007509862,6643540.576984027
63,7,ст. м. ФРУНЗЕНСКАЯ,ст. м. Фрунзенская,3.4963343576611057,1.0,0.9510513189927445,1517,704,350015.5497297363,6643919.543369093,350016.0253325123,6643916.079533655
103,9,АЛАРЧИН МОСТ,Аларчин мост,24.36080403849878,1.0,0.6589487434610171,6014,757,348316.20174999314,6645779.203845427,348312.0818064525,6645803.213735861
2,10,АЛАРЧИН МОСТ,Аларчин мост,7.3513015592900635,1.0,0.8970817781699392,44,758,348300.89963176847,6645692.430975217,348303.38870842475,6645699.348065069
54,11,пл. РЕПИНА,пл. Репина,6.9371879158137135,1.0,0.9028793691786079,1293,759,347914.762372238,6645308.660916865,347915.78342258825,6645315.522551682
22,12,пл. РЕПИНА,пл. Репина,1.0395916464744719,1.0,0.9854457169493573,399,760,347950.80481707666,6645349.166966818,347951.62593473075,6645349.804553353
